,Content ID,Reaction Type,Reaction Score,Datetime,Content Type,Category,,Category,Reaction Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,07-11-20 9:43,photo,Studying,,travel,53935
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,17-06-21 12:22,photo,Studying,,science,53657
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,18-04-21 5:13,photo,Studying,,healthy eating,52745
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,06-01-21 19:13,photo,Studying,,animals,52443
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,23-08-20 12:25,photo,Studying,,cooking,49681
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,07-12-20 6:27,photo,Studying,,culture,47710
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,11-04-21 17:35,photo,Studying,,food,47576
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,27-01-21 8:32,photo,Studying,,technology,46683
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,01-04-21 22:54,photo,Studying,,education,45103
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,07-11-20 8:36,photo,Studying,,tennis,43612
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,02-11-20 6:28,photo,Studying,,soccer,42031
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,01-11-20 1:16,photo,Studying,,fitness,41829
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,07-10-20 18:39,photo,Studying,,dogs,41816
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,03-09-20 18:51,photo,Studying,,veganism,38513
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,24-02-21 5:09,photo,Studying,,public speaking,37730
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,23-09-20 6:24,photo,Studying,,Studying,35861
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,24-02-21 11:37,photo,Studying,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,22-05-21 19:44,photo,Studying,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,20-11-20 17:26,photo,Studying,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,11-04-21 20:47,photo,Studying,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,50,13-06-21 16:46,photo,Studying,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,60,11-04-21 14:29,photo,Studying,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,02-03-21 19:21,photo,Studying,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,27-06-20 18:44,photo,Studying,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,09-05-21 21:05,photo,Studying,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,04-08-20 23:58,photo,Studying,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,28-08-20 3:57,photo,Studying,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,20-04-21 23:48,photo,Studying,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,07-03-21 12:40,photo,Studying,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,24-05-21 3:21,photo,Studying,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,24-01-21 11:03,photo,Studying,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,09-04-21 2:46,photo,Studying,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,02-02-21 3:43,photo,Studying,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,04-02-21 3:06,photo,Studying,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,09-11-20 2:49,photo,Studying,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,29-09-20 16:00,photo,Studying,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,70,13-02-21 7:54,photo,Studying,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,14-07-20 5:28,photo,Studying,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,23-08-20 10:30,photo,Studying,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,10-05-21 9:27,photo,Studying,,,
